,职位名,公司名,薪资,发布日期,工作时间/学历,地点,技术栈,详情页
0,python 爬虫工程师,北京蓝光汇智网络科技有限公司,10K-15K,更新于08:07,1-3年本科,北京,python爬虫,https://jobs.zhaopin.com/CC278763683J00260272011.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
1,Python人工智能讲师培训师,南京词酷网络信息技术有限公司,6K-8K,更新于1月18日,1-3年学历不限,北京-海淀区,讲师/PYTHON培训/普通话/英语好,https://jobs.zhaopin.com/CC555453425J00496414107.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
2,高级爬虫工程师,北京智慧星光信息技术有限公司,13K-25K,更新于2月23日,1-3年本科,北京-海淀区,反爬/爬虫/数据采集/数据抓取/Python,https://jobs.zhaopin.com/CC467352913J00396225304.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
3,初级Python工程师,北京智慧星光信息技术有限公司,6K-8K,更新于2月23日,1-3年本科,北京,Python/python爬虫/爬虫工程师,https://jobs.zhaopin.com/CC467352913J00396224004.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
4,数据服务工程师,北京智慧星光信息技术有限公司,8K-10K,更新于2月23日,1-3年本科,北京-海淀区,售后工程师,https://jobs.zhaopin.com/CC467352913J00396230104.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
5,python工程师,北京智慧星光信息技术有限公司,8K-12K,更新于2月25日,1-3年本科,北京-海淀区,Python,https://jobs.zhaopin.com/CC467352913J00397166304.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
6,高级Python讲师(可兼职),北京黑马卓越信息技术有限公司,30K-55K,更新于2月29日,1-3年本科,北京,讲师/Python,https://jobs.zhaopin.com/CC846912090J00234022310.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
7,软件工程师,央视市场研究股份有限公司,8K-15K,更新于3月17日,1-3年本科,北京,短视频监测/C#/java/sqlserver数据库/FIDDLER,https://jobs.zhaopin.com/CC000545832J00244126613.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
8,数据工程师(002099),北京辰安科技股份有限公司,14K-16K,更新于4月20日,1-3年本科,北京,数据挖掘,https://jobs.zhaopin.com/CC135424103J00228004509.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
9,大数据工程师-NTD,北京四维图新科技股份有限公司,10K-20K,更新于4月26日,1-3年本科,北京,数据分析,https://jobs.zhaopin.com/CC120095625J00243390414.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
10,C#爬虫工程师,中科点击(北京)科技有限公司,15K-20K,更新于5月20日,1-3年本科,北京-丰台区,Python/数据抓取/爬虫,https://jobs.zhaopin.com/CC213711910J00282595011.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
